Date,Actividades.Primarias,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo
1/8/2004,68.02182577,93.28556627,78.36103023,113.6482315,90.83638089,83.59609937,70.96200483,
1/9/2004,65.611203,93.59537285,76.82213908,111.7592988,91.01031948,86.47692868,70.34518462,
1/10/2004,73.4868333,94.85267031,79.19422949,116.2736886,92.91874891,83.63596485,69.6619027,
1/11/2004,115.6004223,91.94486454,81.17504354,110.5137363,91.05133806,81.17001865,67.05816203,
1/12/2004,113.8495273,91.63171314,81.89505758,110.3985309,89.12349961,84.436708,65.10003661,
1/1/2005,97.84772868,92.06422652,76.12894044,116.5095338,86.25213246,85.8933352,68.49691355,3.95199787
1/2/2005,84.21441963,89.16606861,76.22743734,105.0437837,86.82894383,83.36841673,67.55243806,3.77330244
1/3/2005,73.92945161,93.26791341,78.86099142,113.9724051,89.5728255,86.33542684,68.80726753,3.62707537
1/4/2005,77.87828126,95.22123041,82.33143188,113.9506794,93.07146916,86.99692821,70.18746594,3.36341228
1/5/2005,89.26809033,95.29989991,83.78072098,119.142498,92.60218755,82.64727733,73.85111385,3.30369265
1/6/2005,85.55102337,94.26134679,82.08227418,115.1966789,91.30227526,84.21555669,76.382673,3.4821565
1/7/2005,91.47905695,91.00674254,79.46039072,106.9635526,88.08602682,84.65359536,77.93754168,3.9233627
1/8/2005,71.25309443,96.51345221,81.70182596,118.2698203,93.39864201,86.42299296,76.61982656,3.67007975
1/9/2005,64.60329216,95.23220515,79.8816889,111.0845286,93.18771988,88.37968991,75.88166124,3.578426
1/10/2005,71.32689195,96.44389617,82.40908388,111.8305976,96.20457926,86.55665127,75.2879288,3.38599539
1/11/2005,108.0864704,95.68430893,83.84862189,111.3434353,95.11130462,86.57650144,72.89735796,2.93981529
1/12/2005,104.7714994,96.28400842,84.47664665,116.9409104,91.66759969,91.92472471,69.01135008,2.77001059
1/1/2006,107.6875794,96.12284578,81.05845776,118.2726927,92.15981667,88.01463491,73.49206435,3.47786875
1/2/2006,83.93648003,92.24438706,79.64275908,105.3874269,90.46237931,87.37592563,73.08620077,3.74522836
1/3/2006,73.35705105,100.9732195,84.12521606,117.9381999,98.75321795,94.40376726,76.81216395,3.31182028
