"","Valor.Real","VAR.PLS","VAR","Error.relativo.pls","Error.relativo.var","Presicio.VAR.PLS","Presicio.VAR"
"1",19.1902,19.192347241139,17.852120730249,0.0111892587830514,6.97272185673431,99.988810741217,93.0272781432657
"2",19.2339,19.1777889951793,17.1342949363909,0.29172973146719,10.9161691784253,99.7082702685328,89.0838308215747
"3",19.0231,19.2248047202161,16.9875502048957,1.06031467119489,10.7004105277495,98.9396853288051,89.2995894722505
"4",19.0883,19.1791590343898,16.7143213643485,0.475993327796596,12.436825886284,99.5240066722034,87.563174113716
"5",19.2912,19.1525291076897,16.7973650234782,0.718829789283815,12.9273190704665,99.2811702107162,87.0726809295335
"6",19.0669,19.1448897746181,16.3995546921501,0.409032273825714,13.9894020939423,99.5909677261743,86.0105979060577
"7",19.5896,19.1769550573316,15.2188548840688,2.10644904780274,22.3115587655247,97.8935509521973,77.6884412344753
"8",19.6242,19.1800392392371,15.1184432804074,2.26333180849631,22.9602058661887,97.7366681915037,77.0397941338113
"9",19.3701,19.2060457359403,14.9350377272504,0.8469458808148,22.8964345705472,99.1530541191852,77.1035654294529
"10",19.2931,19.1562116532098,14.3811901814056,0.709519708031429,25.4594120104824,99.2904802919686,74.5405879895176
"11",19.1776,19.1792429100306,13.9558427091298,0.00856681769650555,27.2284190455019,99.9914331823035,72.7715809544981
"12",18.806,19.1827269805062,13.5783665998804,2.00322758963185,27.7976890360504,97.9967724103682,72.2023109639496
