"item_id","timestamp ","demand"
"InflacionNacional",2017-01-01,93.60388244
"InflacionNacional",2017-02-01,94.14478034
"InflacionNacional",2017-03-01,94.72248933
"InflacionNacional",2017-04-01,94.83893263
"InflacionNacional",2017-05-01,94.72549432
"InflacionNacional",2017-06-01,94.96363964
"InflacionNacional",2017-07-01,95.32273574
"InflacionNacional",2017-08-01,95.79376765
"InflacionNacional",2017-09-01,96.09351524
"InflacionNacional",2017-10-01,96.69826913
"InflacionNacional",2017-11-01,97.69517399
"InflacionNacional",2017-12-01,98.27288299
"InflacionNacional",2018-01-01,98.7949997
"InflacionNacional",2018-02-01,99.17137448
"InflacionNacional",2018-03-01,99.49215698
"InflacionNacional",2018-04-01,99.15484705
"InflacionNacional",2018-05-01,98.99408017
"InflacionNacional",2018-06-01,99.37646493
"InflacionNacional",2018-07-01,99.9090991
"InflacionNacional",2018-08-01,100.492
"InflacionNacional",2018-09-01,100.917
"InflacionNacional",2018-10-01,101.44
"InflacionNacional",2018-11-01,102.303
"InflacionNacional",2018-12-01,103.02
"InflacionNacional",2019-01-01,103.108
"Salarios",2005-01-01,90.461
"Salarios",2005-02-01,90.1606
"Salarios",2005-03-01,89.756
"Salarios",2005-04-01,89.4375
"Salarios",2005-05-01,89.6628
"Salarios",2005-06-01,89.7489
"Salarios",2005-07-01,89.399
"Salarios",2005-08-01,89.2924
"Salarios",2005-09-01,88.936
"Salarios",2005-10-01,88.7182
"Salarios",2005-11-01,88.0842
"Salarios",2005-12-01,87.5465
"Salarios",2006-01-01,90.5175
"Salarios",2006-02-01,90.3793
"Salarios",2006-03-01,90.266
"Salarios",2006-04-01,90.1338
"Salarios",2006-05-01,90.5369
"Salarios",2006-06-01,90.4588
"Salarios",2006-07-01,90.2114
"Salarios",2006-08-01,89.7534
"Salarios",2006-09-01,88.8564
"Salarios",2006-10-01,88.4696
"Salarios",2006-11-01,88.0078
"Salarios",2006-12-01,87.5017
"Salarios",2007-01-01,90.4367
"Salarios",2007-02-01,90.1846
"Salarios",2007-03-01,89.9899
"Salarios",2007-04-01,90.0436
"Salarios",2007-05-01,90.4851
