"","InflacionNacional","Salarios","Precios.EUA","Tipo.de.cambio","Industria.EUA","Actividades.Primarioas","Actividades.Secundarias","Actividades.Terciarias","Mineria","Manufactura","Construccion","Energia","Desempleo","Billetes.y.monedas","Ingreso.Mexico","TIIE28","TIIE91"
"01/01/2005",4.06575920571348,4.50491881859837,5.25070151260637,2.42086578257795,4.55284878433197,4.58341248130901,4.5224864478284,4.33242848744904,4.75797310485057,4.45727477977974,4.45310623808721,4.22678868658882,1.37422124091786,19.5732968676714,4.40986559585082,2.1938856760707,2.20055236742889
"01/02/2005",4.06908540191971,4.50159252454522,5.25645316244934,2.41145743496499,4.55955359071753,4.43336616109896,4.49050057046789,4.33372146796167,4.65437725086139,4.46394002034546,4.42326954135818,4.21290415642698,1.32795059679426,19.5431445078141,4.39320703195238,2.24812890719799,2.26072088889535
"01/03/2005",4.07358253150561,4.49709487750156,5.26424338621429,2.40987774088166,4.55815100769701,4.30311128184909,4.53547614098644,4.36768670027002,4.7359563585668,4.49505198714978,4.45824002184939,4.23130937206404,1.28842664034403,19.5580514434157,4.42635945618238,2.28033948404673,2.30058309032337
"01/04/2005",4.077137621445,4.49354005731667,5.2709461697519,2.40930268740381,4.55965218245707,4.35514711117984,4.55620292544302,4.41075295311829,4.73576571793807,4.5333676836108,4.46587281010021,4.25116974722695,1.21295601816722,19.5423368134638,4.46122752588858,2.30358459332713,2.32434658477556
"01/05/2005",4.07462220652407,4.49605596732734,5.26991789202634,2.39716773547999,4.56098044363242,4.49164409289345,4.55702876039728,4.42820292111566,4.7803202389104,4.52831276502321,4.41458188155867,4.30205109146351,1.19504082772402,19.5446036753291,4.47607346735937,2.31451366385932,2.32336763217657
"01/06/2005",4.07366186676952,4.49701577102587,5.2704321630585,2.38268933723571,4.56485649975729,4.44911296251096,4.54607120942661,4.40772208790998,4.74664091885317,4.51417570799139,4.43337966297108,4.33575587725729,1.24765178576964,19.5653777307912,4.45843295774628,2.30358459332713,2.30358459332713
"01/07/2005",4.07756794988109,4.49310949643458,5.27504873960868,2.36959867364326,4.56175023636969,4.51611006029078,4.51093359761819,4.3752586675654,4.67248814652782,4.4783139144605,4.43856758091995,4.3559077582276,1.36694911770775,19.5691038662058,4.42824435389454,2.30358459332713,2.30558060197384
"01/08/2005",4.07876136173128,4.49191637787772,5.28015339592037,2.36746418113209,4.56446943411765,4.26623824880217,4.5696823997694,4.40307635118781,4.77296862685712,4.5368768056216,4.45925376262799,4.3388558756312,1.30021339207561,19.5392031639418,4.45934857005485,2.30058309032337,2.30558060197384
"01/09/2005",4.08276117457225,4.48791700993131,5.29229929422247,2.37760907405491,4.54565624713491,4.16826537171913,4.55631817398112,4.38054665128855,4.71029143042284,4.5346159520661,4.48164219109721,4.3291750378161,1.27492303892723,19.5600339582547,4.43843701444498,2.26695791535089,2.24601474150565
"01/10/2005",4.08521265868924,4.48546505428805,5.2943093451505,2.38243085819876,4.55818025043432,4.26727342251012,4.5689614524347,4.41169567210144,4.71698520485127,4.56647695799405,4.46079912754298,4.3213198138542,1.21964792222153,19.5727366036719,4.46421797357752,2.24177295359729,2.22462355152433
"01/11/2005",4.0923841977961,4.47829317520129,5.28624478531377,2.36933678825403,4.56829518350312,4.68293155862536,4.5610543239918,4.42901305271376,4.71261943641985,4.55504783335953,4.46102843278898,4.28905239638255,1.07834675284631,19.6059895942276,4.48477838400798,2.21593728626837,2.21266038546606
"01/12/2005",4.09850775725359,4.47217008077684,5.28218798461815,2.36274843196532,4.57443207363365,4.65178178261114,4.56730224499382,4.43647512515971,4.76166876790621,4.51816898738303,4.52097003245889,4.23427098498266,1.01885114329663,19.7557704672809,4.49033243430898,2.16561923792089,2.15640258281596
"01/01/2006",4.10435472445365,4.50554320217803,5.28978103552575,2.35782110464687,4.5755993466741,4.67923425160651,4.5656270169635,4.39517059511243,4.77299291340049,4.52352420768779,4.47750310644639,4.29717743236261,1.24641967801473,19.6868980949547,4.4664317694566,2.12942147398486,2.09924416897602
"01/02/2006",4.10588369181701,4.5040152588768,5.29179614955777,2.34959271700138,4.57572211661544,4.4300603226683,4.52444143619146,4.37755112299569,4.6576433396179,4.50493406604737,4.47021979426038,4.29163957697984,1.32048259241321,19.6631950914248,4.4318040953533,2.07568449280212,2.07065303564676
"01/03/2006",4.10713757835215,4.50276086681836,5.29731686621445,2.37081367248426,4.57768007153572,4.29533862880327,4.61485532821652,4.43230635628254,4.77016075761037,4.59262399008573,4.54758097977043,4.34136301237771,1.19749797176568,19.6821027714958,4.49468642008955,2.03861954715958,2.0515563381903
"01/04/2006",4.10860271772732,4.50129523300209,5.30578938138674,2.39976624870359,4.58173214858905,4.37893523220945,4.55761085860818,4.41854521332857,4.72575917815275,4.51405937016946,4.51335266929876,4.33347985489657,1.16159269970734,19.6954850895754,4.46708562225148,2.01623546577604,2.04381436403668
"01/05/2006",4.10414099526001,4.50575750241126,5.31073988654659,2.40476254808537,4.58069602203608,4.56426802190018,4.60683614750326,4.4904992603274,4.753219109333,4.59959797330667,4.50272900292916,4.41019732040792,1.04354388100759,19.6961102432579,4.53409677661096,1.99061032797322,2.02683159140754
"01/06/2006",4.10500418041542,4.50489449842998,5.31271324683177,2.43241966077428,4.58457219647523,4.62419273459219,4.59570187486674,4.46183831789409,4.70592823643298,4.59574985123817,4.50984657851362,4.44115492589881,1.18136927243614,19.7265032207323,4.5149023040464,1.99197551589856,2.03861954715958
