Date,Actividades.Primarioas,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo
1/9/2005,64.60329216,95.23220515,79.8816889,111.0845,93.1877,88.3797,75.8817,3.578426
1/10/2005,71.32689195,96.44389617,82.40908388,111.8306,96.2046,86.5567,75.2879,3.38599539
1/11/2005,108.0864704,95.68430893,83.84862189,111.3434,95.1113,86.5765,72.8974,2.93981529
1/12/2005,104.7714994,96.28400842,84.47664665,116.9409,91.6676,91.9247,69.0114,2.77001059
1/1/2006,107.6875794,96.12284578,81.05845776,118.2727,92.1598,88.0146,73.4921,3.47786875
1/2/2006,83.93648003,92.24438706,79.64275908,105.3874,90.4624,87.3759,73.0862,3.74522836
1/3/2006,73.35705105,100.9732195,84.12521606,117.9382,98.7532,94.4038,76.8122,3.31182028
1/4/2006,79.75306968,95.35538996,82.97548588,112.8161,91.2917,91.2272,76.209,3.19501793
1/5/2006,95.99230403,100.166735,89.16595179,115.957,99.4443,90.2631,82.2857,2.83926121
1/6/2006,101.920463,99.05763722,86.64664686,110.6009,99.0624,90.9079,84.8729,3.25883338
1/7/2006,87.69177471,97.79372577,83.25095894,111.3776,94.3622,94.3289,87.0068,4.00741845
1/8/2006,70.6104124,100.9837984,85.38436282,113.3964,98.4477,97.281,87.4586,3.87206043
1/9/2006,65.37654348,99.37283956,82.73375981,109.5407,96.4328,98.5737,86.3186,3.99579567
1/10/2006,82.29201242,101.065449,86.90689806,111.5141,99.6268,97.3058,85.5172,3.81798355
1/11/2006,111.7595289,98.32294664,86.1946295,107.7755,97.4849,94.2704,82.5941,3.50289521
1/12/2006,127.5878639,95.66890306,86.39038621,106.1342,90.9617,98.9982,79.3879,3.31665699
1/1/2007,103.2022318,97.32462088,83.39236218,113.1573,94.0428,92.5104,81.0201,4.04674987
1/2/2007,91.06584464,93.92754018,81.05489051,103.3492,91.4688,93.3661,78.1389,4.05167076
1/3/2007,80.47180475,102.3145794,86.03808271,115.2733,100.3481,97.9195,83.6266,3.72676021
1/4/2007,83.44338207,96.64861816,85.62346252,110.412,93.1339,94.1443,81.1268,3.51300819
1/5/2007,100.2916636,100.6420521,90.57758192,112.3524,100.2688,92.9281,87.4968,3.15085674
1/6/2007,111.5496075,99.939546,89.1362083,111.6204,99.7484,91.4574,88.822,3.28199333
1/7/2007,94.31038633,99.20348531,87.01835286,112.8765,94.9178,96.9259,91.1247,3.79006856
1/8/2007,75.8382381,100.1828994,88.70199175,102.8026,100.5468,98.6333,91.6449,3.8310352
1/9/2007,66.04179033,99.36948977,85.26431233,107.6056,95.3557,101.7852,90.836,3.76169547
1/10/2007,87.97235518,103.2958338,91.28000636,108.3662,101.5171,104.866,90.3207,3.77112469
